Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
539,0,-593.234,-360.374,766.406,-534.078,-279.081,758.765,,,,,,,89.2104,-793.933,1125.31,119.415,-714.912,1112.95,,,,587.083,-908.333,825.292,,,,,,,,,,,,,,,,,,,,,,,,,-102.222,-807.285,818.6
540,0,-593.235,-360.418,766.345,-534.242,-278.94,758.969,,,,,,,88.9968,-793.73,1125.23,119.395,-714.899,1113.04,,,,587.395,-908.496,825.452,,,,,,,,,,,,,,,,,,,,,,,,,-102.14,-807.427,818.494
541,0,-593.139,-360.329,766.255,-534.673,-278.76,759.146,,,,,,,89.1202,-793.886,1125.27,119.334,-714.862,1113.05,,,,587.699,-908.652,825.595,,,,,,,,,,,,,,,,,,,,,,,,,-102.2,-807.306,818.549
542,0,-593.194,-360.389,766.3,-535.124,-278.604,759.301,,,,,,,89.243,-793.96,1125.33,119.339,-714.863,1113.02,,,,587.927,-908.734,825.667,,,,,,,,,,,,,,,,,,,,,,,,,-102.349,-807.421,818.575
543,0,-593.275,-360.359,766.296,-535.496,-278.539,759.102,,,,,,,89.2171,-793.913,1125.33,119.27,-714.753,1112.97,,,,588.078,-908.756,825.694,,,,,,,,,,,,,,,,,,,,,,,,,-102.568,-807.538,818.708
544,0,-593.245,-360.33,766.266,-535.499,-278.474,759.234,,,,,,,89.0101,-793.684,1125.25,119.258,-714.749,1112.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.34,-807.326,818.683
545,0,-593.26,-360.345,766.268,-535.353,-278.511,759.244,,,,,,,89.005,-793.664,1125.22,119.281,-714.723,1112.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.163,-807.236,818.602
546,0,-593.199,-360.285,766.236,-535.151,-278.579,759.181,,,,,,,89.0293,-793.654,1125.21,119.248,-714.714,1112.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-101.947,-807.118,818.474
547,0,-593.365,-360.361,766.282,-534.8,-278.563,759.65,,,,,,,89.0716,-793.59,1125.34,119.302,-714.695,1112.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.033,-807.31,818.363
548,0,-593.414,-360.381,766.317,-534.846,-278.651,759.178,,,,,,,89.1951,-793.719,1125.38,119.299,-714.69,1112.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102.298,-807.395,818.557
