Trajectories
100
,,Patient 1:MDG,,,Patient 1:MAG,,,Patient 1:EAG,,,Patient 1:EDG,,,Patient 1:ED,,,Patient 1:EAD,,,Patient 1:MDD,,,Patient 1:MAD,,,Patient 1:FRD,,,Patient 1:FRG,,,Patient 1:FD,,,Patient 1:FAD,,,Patient 1:FAG,,,Patient 1:T,,,Patient 1:DH,,,Patient 1:F,,,Patient 1:DB,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
475,0,-1564.72,-31.0965,779.948,-1472.24,-36.3274,791.627,-1544.56,-441.414,1047.67,-1616.19,-460.637,1065.17,-1531.72,-820.557,1054.3,,,,,,,-1415.5,-1255.58,800.403,,,,,,,,,,,,,,,,-1435.69,-609.1,1351.57,-1674.28,-642.494,826.15,,,,,,
476,0,-1564.47,-31.1609,780.041,-1472.09,-36.3676,791.65,-1544.6,-441.387,1047.63,-1616.22,-460.579,1065.14,-1531.72,-820.535,1054.35,,,,,,,-1415.33,-1255.56,800.494,,,,,,,,,,,,,,,,-1435.67,-608.96,1351.57,-1674.25,-642.547,826.182,,,,,,
477,0,-1564.25,-31.1328,780.021,-1471.78,-36.3421,791.585,-1544.6,-441.382,1047.63,-1616.26,-460.529,1065.12,-1531.77,-820.523,1054.35,,,,,,,-1415.1,-1255.51,800.469,,,,,,,,,,,,,,,,-1435.76,-608.875,1351.56,-1674.2,-642.559,826.191,,,,,,
478,0,-1563.82,-30.9344,779.831,-1471.57,-36.3339,791.643,-1545.43,-441.231,1047.7,-1616.28,-460.459,1065.08,-1531.7,-820.47,1054.38,,,,,,,-1414.93,-1255.47,800.451,,,,,,,,,,,,,,,,-1435.76,-608.671,1351.52,-1674.12,-642.568,826.245,,,,,,
479,0,-1563.58,-30.847,779.707,-1471.26,-36.3426,791.657,-1544.66,-441.297,1047.59,-1616.27,-460.319,1064.99,-1531.69,-820.436,1054.41,,,,,,,-1414.8,-1255.44,800.467,,,,,,,,,,,,,,,,-1435.79,-608.514,1351.49,-1674.06,-642.573,826.242,,,,,,
480,0,-1563.59,-31.0312,779.847,-1470.95,-36.3899,791.599,-1544.61,-441.315,1047.57,-1616.3,-460.255,1064.94,-1531.7,-820.415,1054.46,,,,,,,-1414.72,-1255.41,800.485,,,,,,,,,,,,,,,,-1435.92,-608.484,1351.52,-1674.04,-642.545,826.354,,,,,,
481,0,-1563.21,-30.808,779.564,-1470.66,-36.4449,791.584,-1544.64,-441.259,1047.52,-1616.29,-460.13,1064.93,-1531.66,-820.354,1054.48,,,,,,,-1414.66,-1255.39,800.528,,,,,,,,,,,,,,,,-1436.01,-608.326,1351.48,-1674.01,-642.556,826.3,,,,,,
482,0,-1563.04,-30.7237,779.437,-1470.41,-36.5098,791.485,-1544.6,-441.192,1047.49,-1616.3,-460.15,1064.95,-1531.7,-820.331,1054.61,,,,,,,-1414.55,-1255.38,800.569,,,,,,,,,,,,,,,,-1436.07,-608.296,1351.51,-1673.99,-642.485,826.295,,,,,,
483,0,-1562.83,-30.7627,779.382,-1470.21,-36.5296,791.393,-1544.6,-441.182,1047.47,-1616.33,-460.097,1064.93,-1531.65,-820.221,1054.63,,,,,,,-1414.46,-1255.34,800.573,,,,,,,,,,,,,,,,-1436.13,-608.143,1351.54,-1674.01,-642.526,826.334,,,,,,
484,0,-1562.53,-30.7356,779.352,-1470.1,-36.6281,791.373,-1544.61,-441.183,1047.5,-1616.19,-459.83,1064.76,-1531.68,-820.227,1054.71,,,,,,,-1414.39,-1255.31,800.602,,,,,,,,,,,,,,,,-1436.18,-608.094,1351.57,-1673.97,-642.475,826.3,,,,,,
485,0,-1562.18,-30.7665,779.276,-1469.91,-36.6484,791.282,-1544.52,-441.063,1047.42,-1616.17,-459.764,1064.77,-1531.73,-820.213,1054.81,,,,,,,-1414.62,-1255.52,801.041,,,,,,,,,,,,,,,,-1436.23,-607.956,1351.56,-1674,-642.555,826.421,,,,,,
486,0,-1561.88,-30.7822,779.196,-1469.75,-36.7355,791.311,-1544.47,-440.987,1047.38,-1616.23,-459.763,1064.78,-1531.76,-820.137,1054.82,,,,,,,-1414.41,-1255.33,801.01,,,,,,,,,,,,,,,,-1436.24,-607.863,1351.56,-1673.9,-642.416,826.31,,,,,,
487,0,-1561.54,-30.729,779.084,-1469.51,-36.7149,791.309,-1544.45,-440.966,1047.36,-1616.15,-459.652,1064.71,-1531.82,-820.105,1054.86,,,,,,,-1414.17,-1255.11,800.924,,,,,,,,,,,,,,,,-1436.32,-607.77,1351.56,-1673.88,-642.396,826.29,,,,,,
488,0,-1561.36,-30.8575,779.135,-1469.28,-36.7692,791.281,-1544.23,-440.794,1047.22,-1616.12,-459.563,1064.72,-1531.88,-820.078,1054.9,,,,,,,-1414.02,-1254.96,800.945,,,,,,,,,,,,,,,,-1436.41,-607.685,1351.57,-1673.94,-642.362,826.335,,,,,,
